message;severity;node;stamp;location
"Rotation goal completed successfully";"20";"turtle2_sim";"1760117745.088175305";"./src/turtle.cpp:update:253"
"Rotation goal completed successfully";"20";"turtle1_sim";"1760117745.081988259";"./src/turtle.cpp:update:253"
"Rotation goal completed successfully";"20";"turtle3_sim";"1760117745.077539375";"./src/turtle.cpp:update:253"
"unknown goal response, ignoring...";"40";"teleop_turtle.rclcpp_action";"1760117744.336132139";"./src/client.cpp:handle_goal_response:392"
"unknown goal response, ignoring...";"40";"teleop_turtle.rclcpp_action";"1760117744.330258871";"./src/client.cpp:handle_goal_response:392"
"Rotation goal completed successfully";"20";"turtle2_sim";"1760117740.543752094";"./src/turtle.cpp:update:253"
"Rotation goal completed successfully";"20";"turtle1_sim";"1760117740.537583284";"./src/turtle.cpp:update:253"
"Rotation goal completed successfully";"20";"turtle3_sim";"1760117740.532994239";"./src/turtle.cpp:update:253"
"unknown goal response, ignoring...";"40";"teleop_turtle.rclcpp_action";"1760117738.992542952";"./src/client.cpp:handle_goal_response:392"
"unknown goal response, ignoring...";"40";"teleop_turtle.rclcpp_action";"1760117738.985530125";"./src/client.cpp:handle_goal_response:392"
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"turtle1_sim";"1760117722.251580349";"./src/turtle_frame.cpp:spawnTurtle:248"
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"turtle3_sim";"1760117722.251357097";"./src/turtle_frame.cpp:spawnTurtle:248"
"Spawning turtle [turtle1] at x=[5.544445], y=[5.544445], theta=[0.000000]";"20";"turtle2_sim";"1760117722.247378240";"./src/turtle_frame.cpp:spawnTurtle:248"
"Starting turtlesim with node name /turtle1_sim";"20";"turtle1_sim";"1760117722.242080204";"./src/turtle_frame.cpp:TurtleFrame:147"
"Starting turtlesim with node name /turtle3_sim";"20";"turtle3_sim";"1760117722.240959040";"./src/turtle_frame.cpp:TurtleFrame:147"
"Starting turtlesim with node name /turtle2_sim";"20";"turtle2_sim";"1760117722.236763870";"./src/turtle_frame.cpp:TurtleFrame:147"
